dataset,transforms,acc_mean,acc_std,f1_mean,rocket_time_mean,clf_fit_time_mean,clf_pred_time_mean,combo_total_time,dataset_total_time
PigCVP,TIME+DWT+DCT+HLB+DT1,0.908974358974359,0.019858866762384186,0.9025524938024938,1.0072195768356322,0.10182184378306071,0.050917959213256835,41.87938594818115,42.08429741859436
Plane,TIME+DWT+DCT+HLB+DT1,1.0,0.0,1.0,0.11423082033793133,0.10377074877421061,0.028292298316955566,10.398395538330078,10.417670965194702
PowerCons,TIME+DWT+DCT+HLB+DT1,0.9851851851851853,0.009442628728875545,0.9851830008973514,0.16326047897338863,0.15824187596638997,0.03937089443206787,15.062670230865479,15.122394561767578
ProximalPhalanxOutlineAgeGroup,TIME+DWT+DCT+HLB+DT1,0.8507317073170733,0.018536585365853675,0.7863683655905032,0.18304273923238118,0.38250240484873455,0.052419583002726235,24.660799741744995,24.773776054382324
ProximalPhalanxOutlineCorrect,TIME+DWT+DCT+HLB+DT1,0.9073310423825889,0.012656854953795774,0.8873063288456222,0.24286484718322754,0.5955447594324748,0.07135376135508219,35.518266677856445,35.62797975540161
ProximalPhalanxTW,TIME+DWT+DCT+HLB+DT1,0.799349593495935,0.02165961080370302,0.5368290400545439,0.1810349702835083,0.38704248269399005,0.05115804672241211,24.624868392944336,24.696531534194946
RefrigerationDevices,TIME+DWT+DCT+HLB+DT1,0.7524444444444444,0.040606269661253906,0.7506479023468384,0.8457143592834473,0.3538202285766602,0.09358598391215006,48.6685311794281,48.788589000701904
Rock,TIME+DWT+DCT+HLB+DT1,0.8626666666666669,0.04918897798852458,0.8432781047152004,0.48646359125773114,0.019287848472595216,0.011067048708597819,21.584961891174316,21.6635320186615
ScreenType,TIME+DWT+DCT+HLB+DT1,0.643111111111111,0.029228769862146453,0.6427720023346912,0.840773606300354,0.3502442200978597,0.09409992694854737,48.334317445755005,48.44050908088684
SemgHandGenderCh2,TIME+DWT+DCT+HLB+DT1,0.9432777777777779,0.010813942760376123,0.9382882351351773,2.018153235117594,0.279111393292745,0.14327490329742432,84.38643789291382,84.65912652015686
